date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:21	261374/261374	---MCZ	200	added ('OK')	text/html	etag:W/%226362091c-3fcfe%22	https://htmldemo.net/pustok/pustok/index.html	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/index.html	(from )
11:51:22	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2005:51:21%20GMT	https://htmldemo.net/robots.txt		(from )
11:51:23	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263620960-47e%22	https://htmldemo.net/pustok/pustok/image/favicon.ico	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/image/favicon.ico	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:23	474671/474671	---MCZ	200	added ('OK')	text/css	etag:W/%2263620934-73e2f%22	https://htmldemo.net/pustok/pustok/css/plugins.css	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/css/plugins.css	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:24	2436/2436	---MC-	200	added ('OK')	image/png	date:Sat,%2023%20Sep%202023%2005:51:23%20GMT	https://htmldemo.net/pustok/pustok/image/logo.png	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/image/logo.png	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:24	296624/296624	---MCZ	200	added ('OK')	text/html	etag:W/%2263620916-486b0%22	https://htmldemo.net/pustok/pustok/index-2.html	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/index-2.html	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:24	257438/257438	---MCZ	200	added ('OK')	text/html	etag:W/%2263620917-3ed9e%22	https://htmldemo.net/pustok/pustok/index-3.html	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/index-3.html	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:24	301710/301710	---MCZ	200	added ('OK')	text/html	etag:W/%226362091a-49a8e%22	https://htmldemo.net/pustok/pustok/index-5.html	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/index-5.html	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:25	494648/494648	---MCZ	200	added ('OK')	text/css	etag:W/%2263620934-78c38%22	https://htmldemo.net/pustok/pustok/css/main.css	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/css/main.css	(from https://htmldemo.net/pustok/pustok/index.html)
11:51:25	73573/73573	---MCZ	200	added ('OK')	text/html	etag:W/%226362092b-11f65%22	https://htmldemo.net/pustok/pustok/shop-grid.html	C:/My%20Web%20Sites/book2/htmldemo.net/pustok/pustok/shop-grid.html	(from https://htmldemo.net/pustok/pustok/index.html)
